FlightIndex,FlightNumber,IsDeparting,Destination,Origin,ArrivalTime,OffTime,ArrivalTimeMinutes,OffTimeMinutes,ArrivalTimeActual,OffTimeActual,ArrivalTimeActualMinutes,OffTimeActualMinutes,Aircraft,FlightType,PassengersArr,PassengersDept,DepGate,ArrGate,SchedDepLocal,SchedArrLocal,OutGateLocal,InGateLocal,SchedDepUtc,SchedArrUtc,OutGateUtc,InGateUtc,TailNumber,num_connecting_pax,OptDepGate,OptArrGate
1,AA1000,Y,TPA,DFW,1106,1205,666,725,1119,1159,679.0,719.0,2.0,Domestic,0,68,C11,,2016-05-02 12:05:00,2016-05-02 15:31:00,2016-05-02 11:59:00,2016-05-02 15:19:00,1025,1171,2016-05-02 16:59,2016-05-02 19:19,N70504,82,C21,
2,AA1000,N,DFW,TPA,1805,1910,1085,1150,1757,1903,1077.0,1143.0,2.0,Domestic,98,0,,C31,2016-05-02 16:11:00,2016-05-02 18:05:00,2016-05-02 16:05:00,2016-05-02 17:57:00,1211,1385,2016-05-02 20:05,2016-05-02 22:57,N70504,52,,C21
3,AA1002,N,DFW,MIA,2230,2300,1350,1380,2222,2300,1342.0,1380.0,,,0,0,,A24,2016-05-02 20:14:00,2016-05-02 22:30:00,2016-05-02 20:16:00,2016-05-02 22:22:00,14,210,2016-05-03 00:16,2016-05-03 03:22,N369AA,0,,A8
4,AA1004,N,DFW,AUS,953,1023,593,623,1014,1111,614.0,671.0,2.0,Domestic,19,0,,C33,2016-05-02 08:45:00,2016-05-02 09:53:00,2016-05-02 08:44:00,2016-05-02 10:14:00,825,893,2016-05-02 13:44,2016-05-02 15:14,N9622A,131,,C21
5,AA1004,Y,AUS,DFW,530,700,330,420,530,704,330.0,424.0,2.0,Domestic,0,126,C31,,2016-05-02 07:00:00,2016-05-02 08:03:00,2016-05-02 07:04:00,2016-05-02 08:10:00,720,783,2016-05-02 12:04,2016-05-02 13:10,N9622A,24,C21,
6,AA1008,Y,IAD,DFW,1740,1855,1060,1135,1717,1852,1037.0,1132.0,2.0,Domestic,0,106,C27,,2016-05-02 18:55:00,2016-05-02 22:50:00,2016-05-02 18:52:00,2016-05-02 22:39:00,1435,170,2016-05-02 23:52,2016-05-03 02:39,N564AA,44,C22,
7,AA1009,N,DFW,MCO,1504,1600,904,960,1448,1558,888.0,958.0,2.0,,102,0,,A29,2016-05-02 13:10:00,2016-05-02 15:04:00,2016-05-02 13:05:00,2016-05-02 14:48:00,1030,1204,2016-05-02 17:05,2016-05-02 19:48,N975AN,48,,A8
8,AA1010,Y,STL,DFW,1920,2005,1160,1205,1853,1957,1133.0,1197.0,2.0,Domestic,0,105,C29,,2016-05-02 20:05:00,2016-05-02 21:43:00,2016-05-02 19:57:00,2016-05-02 21:22:00,65,163,2016-05-03 00:57,2016-05-03 02:22,N489AA,45,C22,
9,AA1012,N,DFW,RSW,930,1020,570,620,945,1032,585.0,632.0,2.0,,0,0,,A9,2016-05-02 07:26:00,2016-05-02 09:30:00,2016-05-02 07:26:00,2016-05-02 09:45:00,686,870,2016-05-02 11:26,2016-05-02 14:45,N809NN,160,,C39
10,AA1015,N,DFW,AUS,735,825,455,505,741,825,461.0,505.0,2.0,,75,0,,C31,2016-05-02 06:30:00,2016-05-02 07:35:00,2016-05-02 06:39:00,2016-05-02 07:41:00,690,755,2016-05-02 11:39,2016-05-02 12:41,N9403W,75,,C37
11,AA1023,Y,LAX,DFW,2050,2220,1250,1340,2050,2224,1250.0,1344.0,2.0,Domestic,0,84,A19,,2016-05-02 22:20:00,2016-05-02 23:43:00,2016-05-02 22:24:00,2016-05-02 23:42:00,200,403,2016-05-03 03:24,2016-05-03 06:42,N148AN,66,C21,
12,AA102,N,DFW,HNL,836,906,516,546,810,906,490.0,546.0,1.0,,209,0,,C4,2016-05-02 20:05:00,2016-05-03 08:36:00,2016-05-02 19:58:00,2016-05-03 08:10:00,365,816,2016-05-03 05:58,2016-05-03 13:10,N387AM,91,,C37
13,AA1033,N,DFW,DCA,1300,1410,780,850,1327,1419,807.0,859.0,2.0,,96,0,,A11,2016-05-02 10:31:00,2016-05-02 13:00:00,2016-05-02 10:44:00,2016-05-02 13:27:00,871,1080,2016-05-02 14:44,2016-05-02 18:27,N922AN,54,,C22
14,AA1034,Y,MEM,DFW,1025,1155,625,715,1025,1319,625.0,799.0,2.0,Domestic,0,55,C29,,2016-05-02 11:55:00,2016-05-02 13:26:00,2016-05-02 13:19:00,2016-05-02 14:43:00,1015,1106,2016-05-02 18:19,2016-05-02 19:43,N8009T,95,B9,
15,AA1034,N,DFW,MEM,1554,1624,954,984,1702,1624,1022.0,2424.0,2.0,Domestic,105,0,,C35,2016-05-02 14:10:00,2016-05-02 15:54:00,2016-05-02 15:22:00,2016-05-02 17:02:00,1150,1254,2016-05-02 20:22,2016-05-02 22:02,N8009T,45,,B9
16,AA1035,N,DFW,RNO,1725,1820,1045,1100,1704,1815,1024.0,1095.0,2.0,,62,0,,C20,2016-05-02 12:06:00,2016-05-02 17:25:00,2016-05-02 11:58:00,2016-05-02 17:04:00,1146,1345,2016-05-02 18:58,2016-05-02 22:04,N70425,88,,A8
17,AA103,Y,SJC,DFW,923,1040,563,640,951,1047,591.0,647.0,2.0,Domestic,0,0,A25,,2016-05-02 10:40:00,2016-05-02 12:26:00,2016-05-02 10:47:00,2016-05-02 12:34:00,940,1166,2016-05-02 15:47,2016-05-02 19:34,N955NN,160,A8,
18,AA1040,N,DFW,YYZ,2055,2155,1255,1315,2053,2151,1253.0,1311.0,2.0,,150,0,,C31,2016-05-02 18:23:00,2016-05-02 20:55:00,2016-05-02 18:33:00,2016-05-02 20:53:00,1343,115,2016-05-02 22:33,2016-05-03 01:53,N470AA,0,,A8
19,AA1045,N,DFW,YUL,1104,1134,664,694,1059,1134,659.0,694.0,,,0,0,,C14,2016-05-02 07:50:00,2016-05-02 11:04:00,2016-05-02 07:40:00,2016-05-02 10:59:00,710,964,2016-05-02 11:40,2016-05-02 15:59,N9004F,0,,A8
20,AA1046,N,DFW,MCI,1910,2025,1150,1225,1905,2021,1145.0,1221.0,2.0,,117,0,,C17,2016-05-02 17:27:00,2016-05-02 19:10:00,2016-05-02 17:25:00,2016-05-02 19:05:00,1347,10,2016-05-02 22:25,2016-05-03 00:05,N9622A,33,,A8
21,AA1047,N,DFW,SLC,1058,1200,658,720,1029,1206,629.0,726.0,2.0,,54,0,,A17,2016-05-02 07:10:00,2016-05-02 10:58:00,2016-05-02 07:05:00,2016-05-02 10:29:00,790,958,2016-05-02 13:05,2016-05-02 15:29,N890NN,96,,A9
22,AA1052,N,DFW,RDU,1741,1835,1061,1115,1810,1856,1090.0,1136.0,2.0,,92,0,,C28,2016-05-02 15:37:00,2016-05-02 17:41:00,2016-05-02 15:56:00,2016-05-02 18:10:00,1177,1361,2016-05-02 19:56,2016-05-02 23:10,N481AA,58,,A9
23,AA1054,Y,IAH,DFW,805,850,485,530,754,844,474.0,524.0,2.0,Domestic,0,102,C19,,2016-05-02 08:50:00,2016-05-02 10:06:00,2016-05-02 08:44:00,2016-05-02 10:05:00,830,906,2016-05-02 13:44,2016-05-02 15:05,N477AA,48,C22,
24,AA1054,N,DFW,IAH,1215,1255,735,775,1219,1302,739.0,782.0,2.0,Domestic,94,0,,C24,2016-05-02 10:59:00,2016-05-02 12:15:00,2016-05-02 10:50:00,2016-05-02 12:19:00,959,1035,2016-05-02 15:50,2016-05-02 17:19,N477AA,56,,C22
25,AA1055,Y,PIT,DFW,1750,1855,1070,1135,1737,1846,1057.0,1126.0,2.0,Domestic,0,95,C30,,2016-05-02 18:55:00,2016-05-02 22:35:00,2016-05-02 18:46:00,2016-05-02 22:08:00,1435,155,2016-05-02 23:46,2016-05-03 02:08,N475AA,55,A11,
26,AA1057,N,DFW,MCO,756,900,476,540,810,857,490.0,537.0,2.0,,60,0,,A17,2016-05-02 05:59:00,2016-05-02 07:56:00,2016-05-02 05:59:00,2016-05-02 08:10:00,599,776,2016-05-02 09:59,2016-05-02 13:10,N134AN,90,,A8
27,AA1059,N,DFW,ONT,1405,1515,845,915,1339,1512,819.0,912.0,2.0,,57,0,,A22,2016-05-02 09:05:00,2016-05-02 14:05:00,2016-05-02 08:59:00,2016-05-02 13:39:00,965,1145,2016-05-02 15:59,2016-05-02 18:39,N982AN,93,,A9
28,AA1060,N,DFW,TUL,805,905,485,545,814,924,494.0,564.0,2.0,,27,0,,A16,2016-05-02 06:53:00,2016-05-02 08:05:00,2016-05-02 06:51:00,2016-05-02 08:14:00,713,785,2016-05-02 11:51,2016-05-02 13:14,N932AN,123,,C39
29,AA1062,Y,MCI,DFW,540,710,340,430,540,707,340.0,427.0,2.0,Domestic,0,126,C27,,2016-05-02 07:10:00,2016-05-02 08:46:00,2016-05-02 07:07:00,2016-05-02 08:31:00,730,826,2016-05-02 12:07,2016-05-02 13:31,N9620D,24,C22,
30,AA1072,Y,PHL,DFW,1555,1725,955,1045,1555,1734,955.0,1054.0,2.0,Domestic,0,119,A11,,2016-05-02 17:25:00,2016-05-02 21:42:00,2016-05-02 17:34:00,2016-05-02 21:26:00,1345,102,2016-05-02 22:34,2016-05-03 01:26,N901NN,31,C22,
31,AA1074,N,DFW,IND,921,951,561,591,1218,951,738.0,2031.0,2.0,,80,0,,C27,2016-05-02 07:55:00,2016-05-02 09:21:00,2016-05-02 10:41:00,2016-05-02 12:18:00,715,861,2016-05-02 14:41,2016-05-02 17:18,N480AA,70,,C21
32,AA1075,Y,ELP,DFW,1914,1915,1154,1155,1901,1954,1141.0,1194.0,2.0,Domestic,0,84,C4,,2016-05-02 19:15:00,2016-05-02 19:58:00,2016-05-02 19:54:00,2016-05-02 20:35:00,15,118,2016-05-03 00:54,2016-05-03 02:35,N4032T,66,C22,
33,AA1077,Y,SLC,DFW,1640,1805,1000,1085,1627,1806,987.0,1086.0,2.0,Domestic,0,91,C4,,2016-05-02 18:05:00,2016-05-02 19:49:00,2016-05-02 18:06:00,2016-05-02 19:45:00,1385,109,2016-05-02 23:06,2016-05-03 01:45,N962AN,59,C21,
34,AA1078,N,DFW,EWR,1351,1421,831,861,1400,1654,840.0,1014.0,2.0,,119,0,,A10,2016-05-02 10:59:00,2016-05-02 13:51:00,2016-05-02 10:54:00,2016-05-02 14:00:00,899,1131,2016-05-02 14:54,2016-05-02 19:00,N981AN,31,,A8
35,AA1080,Y,LGA,DFW,804,935,484,575,811,936,491.0,576.0,2.0,Domestic,0,112,A20,,2016-05-02 09:35:00,2016-05-02 13:59:00,2016-05-02 09:36:00,2016-05-02 13:38:00,875,1079,2016-05-02 14:36,2016-05-02 17:38,N930NN,38,B9,
36,AA1087,N,DFW,ATL,1905,2025,1145,1225,1857,2151,1137.0,1311.0,2.0,Domestic,128,0,,A10,2016-05-02 17:37:00,2016-05-02 19:05:00,2016-05-02 17:34:00,2016-05-02 18:57:00,1297,5,2016-05-02 21:34,2016-05-02 23:57,N936AN,22,,A11
37,AA1087,Y,ATL,DFW,1233,1335,753,815,1224,1333,744.0,813.0,2.0,Domestic,0,74,A28,,2016-05-02 13:35:00,2016-05-02 16:39:00,2016-05-02 13:33:00,2016-05-02 16:32:00,1115,1239,2016-05-02 18:33,2016-05-02 20:32,N936AN,76,A11,
38,AA1094,Y,BOS,DFW,1020,1150,620,710,955,1245,595.0,765.0,2.0,Domestic,0,81,A13,,2016-05-02 11:50:00,2016-05-02 16:30:00,2016-05-02 12:45:00,2016-05-02 17:10:00,1010,1230,2016-05-02 17:45,2016-05-02 21:10,N140AN,69,C22,
39,AA1099,N,DFW,ORF,935,1025,575,625,953,1033,593.0,633.0,2.0,,46,0,,C10,2016-05-02 07:07:00,2016-05-02 09:35:00,2016-05-02 07:14:00,2016-05-02 09:53:00,667,875,2016-05-02 11:14,2016-05-02 14:53,N494AA,104,,A9
40,AA1100,Y,MSY,DFW,850,1020,530,620,850,1018,530.0,618.0,2.0,Domestic,0,66,C14,,2016-05-02 10:20:00,2016-05-02 11:47:00,2016-05-02 10:18:00,2016-05-02 11:32:00,920,1007,2016-05-02 15:18,2016-05-02 16:32,N9015D,84,C22,
41,AA1101,N,DFW,ABQ,1910,2020,1150,1220,1912,2015,1152.0,1215.0,2.0,Domestic,70,0,,C30,2016-05-02 16:17:00,2016-05-02 19:10:00,2016-05-02 16:09:00,2016-05-02 19:12:00,1337,10,2016-05-02 22:09,2016-05-03 00:12,N954U,80,,C21
42,AA1101,Y,ABQ,DFW,1315,1445,795,885,1315,1440,795.0,880.0,2.0,Domestic,0,98,C7,,2016-05-02 14:45:00,2016-05-02 15:33:00,2016-05-02 14:40:00,2016-05-02 15:33:00,1185,1293,2016-05-02 19:40,2016-05-02 21:33,N954U,52,C21,
43,AA1102,N,DFW,AUS,608,705,368,425,614,701,374.0,421.0,2.0,,0,0,,A33,2016-05-02 05:05:00,2016-05-02 06:08:00,2016-05-02 05:01:00,2016-05-02 06:14:00,605,668,2016-05-02 10:01,2016-05-02 11:14,N817NN,151,,A8
44,AA1104,Y,LGA,DFW,600,730,360,450,600,731,360.0,451.0,2.0,Domestic,0,100,A10,,2016-05-02 07:30:00,2016-05-02 11:55:00,2016-05-02 07:31:00,2016-05-02 11:55:00,750,955,2016-05-02 12:31,2016-05-02 15:55,N920AN,50,A11,
45,AA1106,N,DFW,BWI,2053,2123,1253,1283,247,2123,167.0,1283.0,2.0,,99,0,,C7,2016-05-02 18:20:00,2016-05-02 20:53:00,2016-05-02 23:55:00,2016-05-03 02:47:00,1340,113,2016-05-03 03:55,2016-05-03 07:47,N864NN,51,,C39
46,AA1112,N,DFW,LGA,1800,1915,1080,1155,1803,1911,1083.0,1151.0,2.0,,104,0,,A25,2016-05-02 14:59:00,2016-05-02 18:00:00,2016-05-02 14:56:00,2016-05-02 18:03:00,1139,1380,2016-05-02 18:56,2016-05-02 23:03,N930NN,46,,A16
47,AA1121,Y,DCA,DFW,1548,1645,948,1005,1533,1641,933.0,1001.0,2.0,Domestic,0,102,A36,,2016-05-02 16:45:00,2016-05-02 20:39:00,2016-05-02 16:41:00,,1305,39,2016-05-02 21:41,,N956NN,48,A11,
48,AA1126,N,DFW,SMF,1235,1410,755,850,1311,1417,791.0,857.0,2.0,,22,0,,A21,2016-05-02 07:10:00,2016-05-02 12:35:00,2016-05-02 08:08:00,2016-05-02 13:11:00,850,1055,2016-05-02 15:08,2016-05-02 18:11,N973AN,128,,A15
49,AA1129,Y,IND,DFW,1115,1215,675,735,1057,1209,657.0,729.0,2.0,Domestic,0,88,C20,,2016-05-02 12:15:00,2016-05-02 15:23:00,2016-05-02 12:09:00,2016-05-02 15:07:00,1035,1163,2016-05-02 17:09,2016-05-02 19:07,N485AA,62,B10,
50,AA1129,N,DFW,IND,1735,1855,1055,1135,1728,1848,1048.0,1128.0,2.0,Domestic,75,0,,C10,2016-05-02 16:10:00,2016-05-02 17:35:00,2016-05-02 16:01:00,2016-05-02 17:28:00,1210,1355,2016-05-02 20:01,2016-05-02 22:28,N485AA,75,,B10
51,AA1131,N,DFW,LGA,1306,1355,786,835,1319,1406,799.0,846.0,2.0,,111,0,,A19,2016-05-02 09:57:00,2016-05-02 13:06:00,2016-05-02 09:46:00,2016-05-02 13:19:00,837,1086,2016-05-02 13:46,2016-05-02 18:19,N854NN,39,,
52,AA1135,N,DFW,DSM,935,1050,575,650,944,1047,584.0,647.0,2.0,,65,0,,C2,2016-05-02 07:28:00,2016-05-02 09:35:00,2016-05-02 07:19:00,2016-05-02 09:44:00,748,875,2016-05-02 12:19,2016-05-02 14:44,N9626F,85,,
53,AA1137,Y,MFE,DFW,1450,1535,890,935,1451,1530,891.0,930.0,2.0,Domestic,0,74,C33,,2016-05-02 15:35:00,2016-05-02 17:10:00,2016-05-02 15:30:00,2016-05-02 17:01:00,1235,1330,2016-05-02 20:30,2016-05-02 22:01,N424AA,76,,
54,AA1137,N,DFW,MFE,1930,2025,1170,1225,1915,2022,1155.0,1222.0,2.0,Domestic,75,0,,C28,2016-05-02 17:50:00,2016-05-02 19:30:00,2016-05-02 17:43:00,2016-05-02 19:15:00,1370,30,2016-05-02 22:43,2016-05-03 00:15,N424AA,75,,
55,AA1139,N,DFW,LGA,2057,2127,1257,1287,2101,2127,1261.0,1287.0,,,0,0,,A13,2016-05-02 17:50:00,2016-05-02 20:57:00,2016-05-02 17:56:00,2016-05-02 21:01:00,1310,117,2016-05-02 21:56,2016-05-03 02:01,N923AN,33,,
56,AA1140,N,DFW,LGA,2130,2220,1290,1340,2133,2219,1293.0,1339.0,2.0,,131,0,,A22,2016-05-02 18:22:00,2016-05-02 21:30:00,2016-05-02 18:30:00,2016-05-02 21:33:00,1342,150,2016-05-02 22:30,2016-05-03 02:33,N908NN,19,,
57,AA1141,N,DFW,LGA,1600,1630,960,990,1612,1630,972.0,990.0,2.0,,83,0,,A8,2016-05-02 12:59:00,2016-05-02 16:00:00,2016-05-02 12:56:00,2016-05-02 16:12:00,1019,1260,2016-05-02 16:56,2016-05-02 21:12,N920AN,67,,
58,AA1142,Y,ORD,DFW,1905,2010,1145,1210,1848,2003,1128.0,1203.0,2.0,Domestic,0,129,A20,,2016-05-02 20:10:00,2016-05-02 22:34:00,2016-05-02 20:03:00,2016-05-02 22:13:00,70,214,2016-05-03 01:03,2016-05-03 03:13,N837NN,21,,
59,AA1148,Y,LGA,DFW,1418,1520,858,920,1405,1516,845.0,916.0,2.0,Domestic,0,95,A33,,2016-05-02 15:20:00,2016-05-02 19:46:00,2016-05-02 15:16:00,2016-05-02 19:30:00,1220,1426,2016-05-02 20:16,2016-05-02 23:30,N953NN,55,,
60,AA1149,Y,PSP,DFW,915,1045,555,645,915,1037,555.0,637.0,2.0,Domestic,0,3,C20,,2016-05-02 10:45:00,2016-05-02 11:53:00,2016-05-02 10:37:00,2016-05-02 11:57:00,945,1133,2016-05-02 15:37,2016-05-02 18:57,N7550,147,,
61,AA1159,Y,SAN,DFW,1233,1350,753,830,1219,1344,739.0,824.0,2.0,Domestic,0,87,A17,,2016-05-02 13:50:00,2016-05-02 14:57:00,2016-05-02 13:44:00,2016-05-02 14:59:00,1130,1317,2016-05-02 18:44,2016-05-02 21:59,N155NN,63,,
62,AA1159,N,DFW,SAN,2049,2200,1249,1320,2033,2155,1233.0,1315.0,2.0,Domestic,139,0,,A25,2016-05-02 15:55:00,2016-05-02 20:49:00,2016-05-02 15:49:00,2016-05-02 20:33:00,1375,109,2016-05-02 22:49,2016-05-03 01:33,N155NN,11,,
63,AA1160,Y,RDU,DFW,617,705,377,425,616,703,376.0,423.0,2.0,Domestic,0,93,C16,,2016-05-02 07:05:00,2016-05-02 10:47:00,2016-05-02 07:03:00,2016-05-02 10:38:00,725,887,2016-05-02 12:03,2016-05-02 14:38,N9625W,57,,
64,AA1162,N,DFW,LGA,1438,1600,878,960,1444,1551,884.0,951.0,2.0,,112,0,,A20,2016-05-02 11:30:00,2016-05-02 14:38:00,2016-05-02 11:44:00,2016-05-02 14:44:00,930,1178,2016-05-02 15:44,2016-05-02 19:44,N970NN,38,,
65,AA1163,N,DFW,CLT,2050,2205,1250,1325,2057,2204,1257.0,1324.0,2.0,Domestic,126,0,,C7,2016-05-02 18:56:00,2016-05-02 20:50:00,2016-05-02 19:07:00,2016-05-02 20:57:00,1376,110,2016-05-02 23:07,2016-05-03 01:57,N961NN,24,,
66,AA1163,Y,CLT,DFW,1345,1435,825,875,1324,1439,804.0,879.0,2.0,Domestic,0,104,A36,,2016-05-02 14:35:00,2016-05-02 18:02:00,2016-05-02 14:39:00,2016-05-02 18:13:00,1175,1322,2016-05-02 19:39,2016-05-02 22:13,N961NN,46,,
67,AA1164,Y,LGA,DFW,1550,1700,950,1020,1546,1703,946.0,1023.0,2.0,Domestic,0,109,A9,,2016-05-02 17:00:00,2016-05-02 21:28:00,2016-05-02 17:03:00,2016-05-02 21:18:00,1320,88,2016-05-02 22:03,2016-05-03 01:18,N932NN,41,,
68,AA1164,N,DFW,SFO,1554,1715,954,1035,1526,1713,926.0,1033.0,2.0,Domestic,100,0,,A15,2016-05-02 10:25:00,2016-05-02 15:54:00,2016-05-02 10:23:00,2016-05-02 15:26:00,1045,1254,2016-05-02 17:23,2016-05-02 20:26,N815NN,50,,
69,AA1165,Y,PHX,DFW,805,910,485,550,840,933,520.0,573.0,2.0,Domestic,0,100,A14,,2016-05-02 09:10:00,2016-05-02 10:00:00,2016-05-02 09:33:00,2016-05-02 10:15:00,850,1020,2016-05-02 14:33,2016-05-02 17:15,N928NN,50,,
70,AA1166,N,DFW,YYC,1914,1915,1154,1155,1901,1954,1141.0,1194.0,2.0,,150,0,,C4,2016-05-02 14:25:00,2016-05-02 19:14:00,2016-05-02 14:19:00,2016-05-02 19:01:00,1225,14,2016-05-02 20:19,2016-05-03 00:01,N4032T,0,,
71,AA1170,Y,LGA,DFW,1507,1637,907,997,1507,1654,907.0,1014.0,2.0,Domestic,0,112,A10,,2016-05-02 16:37:00,2016-05-02 21:00:00,2016-05-02 16:54:00,2016-05-02 21:01:00,1297,60,2016-05-02 21:54,2016-05-03 01:01,N981AN,38,,
72,AA1178,N,DFW,BOS,1908,2005,1148,1205,1919,2007,1159.0,1207.0,2.0,,121,0,,A36,2016-05-02 15:47:00,2016-05-02 19:08:00,2016-05-02 15:44:00,2016-05-02 19:19:00,1187,8,2016-05-02 19:44,2016-05-03 00:19,N809NN,29,,
73,AA1179,Y,MSY,DFW,1125,1215,685,735,1107,1213,667.0,733.0,2.0,Domestic,0,28,C10,,2016-05-02 12:15:00,2016-05-02 13:44:00,2016-05-02 12:13:00,2016-05-02 13:33:00,1035,1124,2016-05-02 17:13,2016-05-02 18:33,N9403W,122,,
74,AA1179,N,DFW,MSY,1607,1640,967,1000,1551,1635,951.0,995.0,2.0,Domestic,99,0,,C27,2016-05-02 14:25:00,2016-05-02 16:07:00,2016-05-02 13:58:00,2016-05-02 15:51:00,1165,1267,2016-05-02 18:58,2016-05-02 20:51,N9403W,51,,
75,AA1181,Y,DAY,DFW,1945,2025,1185,1225,1934,2018,1174.0,1218.0,2.0,Domestic,0,90,C14,,2016-05-02 20:25:00,2016-05-02 23:42:00,2016-05-02 20:18:00,2016-05-02 23:27:00,85,222,2016-05-03 01:18,2016-05-03 03:27,N9616G,60,,
76,AA1184,N,DFW,DEN,1740,1855,1060,1135,1717,1852,1037.0,1132.0,2.0,Domestic,121,0,,C27,2016-05-02 14:34:00,2016-05-02 17:40:00,2016-05-02 14:29:00,2016-05-02 17:17:00,1234,1360,2016-05-02 20:29,2016-05-02 22:17,N564AA,29,,
77,AA1184,Y,DEN,DFW,1145,1245,705,765,1137,1244,697.0,764.0,2.0,Domestic,0,124,C30,,2016-05-02 12:45:00,2016-05-02 13:50:00,2016-05-02 12:44:00,2016-05-02 13:39:00,1065,1190,2016-05-02 17:44,2016-05-02 19:39,N564AA,26,,
78,AA1189,N,DFW,YVR,1910,2025,1150,1225,1917,2022,1157.0,1222.0,2.0,,150,0,,A9,2016-05-02 12:57:00,2016-05-02 19:10:00,2016-05-02 12:55:00,2016-05-02 19:17:00,1197,10,2016-05-02 19:55,2016-05-03 00:17,N802NN,0,,
79,AA1191,N,DFW,BNA,1634,1725,994,1045,1630,1725,990.0,1045.0,2.0,Domestic,105,0,,C8,2016-05-02 14:30:00,2016-05-02 16:34:00,2016-05-02 14:30:00,2016-05-02 16:30:00,1170,1294,2016-05-02 19:30,2016-05-02 21:30,N915NN,45,,
80,AA1191,Y,BNA,DFW,1055,1155,655,715,1053,1148,653.0,708.0,2.0,Domestic,0,70,A10,,2016-05-02 11:55:00,2016-05-02 13:45:00,2016-05-02 11:48:00,2016-05-02 13:25:00,1015,1125,2016-05-02 16:48,2016-05-02 18:25,N915NN,80,,
81,AA1192,Y,SLC,DFW,909,1040,549,640,1003,1053,603.0,653.0,2.0,Domestic,0,45,C27,,2016-05-02 10:40:00,2016-05-02 12:30:00,2016-05-02 10:53:00,2016-05-02 12:34:00,940,1110,2016-05-02 15:53,2016-05-02 18:34,N9617R,105,,
82,AA1194,Y,SAN,DFW,1427,1545,867,945,1417,1539,857.0,939.0,2.0,Domestic,0,100,A25,,2016-05-02 15:45:00,2016-05-02 16:52:00,2016-05-02 15:39:00,2016-05-02 16:48:00,1245,1432,2016-05-02 20:39,2016-05-02 23:48,N146AA,50,,
83,AA1194,N,DFW,SAN,2249,2319,1369,1399,2222,2319,1342.0,1399.0,2.0,Domestic,150,0,,C6,2016-05-02 17:50:00,2016-05-02 22:49:00,2016-05-02 17:45:00,2016-05-02 22:22:00,50,229,2016-05-03 00:45,2016-05-03 03:22,N146AA,0,,
84,AA1196,Y,SAN,DFW,2110,2215,1270,1335,2106,2210,1266.0,1330.0,2.0,Domestic,0,79,A23,,2016-05-02 22:15:00,2016-05-02 23:21:00,2016-05-02 22:10:00,2016-05-02 23:20:00,195,381,2016-05-03 03:10,2016-05-03 06:20,N157AA,71,,
85,AA1196,N,DFW,EWR,2105,2215,1265,1335,2107,2210,1267.0,1330.0,2.0,Domestic,106,0,,C6,2016-05-02 18:00:00,2016-05-02 21:05:00,2016-05-02 17:58:00,2016-05-02 21:07:00,1320,125,2016-05-02 21:58,2016-05-03 02:07,N844NN,44,,
86,AA1198,Y,TPA,DFW,1250,1330,770,810,1246,1327,766.0,807.0,2.0,Domestic,0,75,C33,,2016-05-02 13:30:00,2016-05-02 16:52:00,2016-05-02 13:27:00,2016-05-02 16:49:00,1110,1252,2016-05-02 18:27,2016-05-02 20:49,N555AN,75,,
87,AA1201,Y,LGA,DFW,1058,1200,658,720,1029,1206,629.0,726.0,2.0,Domestic,0,64,A17,,2016-05-02 12:00:00,2016-05-02 16:27:00,2016-05-02 12:06:00,2016-05-02 16:25:00,1020,1227,2016-05-02 17:06,2016-05-02 20:25,N890NN,86,,
88,AA1201,N,DFW,FAT,1111,1200,671,720,1048,1154,648.0,714.0,2.0,Domestic,18,0,,C22,2016-05-02 05:55:00,2016-05-02 11:11:00,2016-05-02 05:48:00,2016-05-02 10:48:00,775,971,2016-05-02 12:48,2016-05-02 15:48,N967TW,132,,
89,AA1206,Y,MSP,DFW,1739,1850,1059,1130,1735,1853,1055.0,1133.0,2.0,Domestic,0,109,C21,,2016-05-02 18:50:00,2016-05-02 21:13:00,2016-05-02 18:53:00,2016-05-02 21:08:00,1430,133,2016-05-02 23:53,2016-05-03 02:08,N473AA,41,,
90,AA1207,Y,RDU,DFW,1720,1820,1040,1100,1715,1817,1035.0,1097.0,2.0,Domestic,0,86,C22,,2016-05-02 18:20:00,2016-05-02 22:00:00,2016-05-02 18:17:00,2016-05-02 21:52:00,1400,120,2016-05-02 23:17,2016-05-03 01:52,N426AA,64,,
91,AA1209,Y,SMF,DFW,905,1035,545,635,905,1136,545.0,696.0,2.0,Domestic,0,0,A8,,2016-05-02 10:35:00,2016-05-02 12:19:00,2016-05-02 11:36:00,2016-05-02 13:11:00,935,1159,2016-05-02 16:36,2016-05-02 20:11,N821NN,150,,
92,AA1210,Y,MSP,DFW,930,1025,570,625,904,1042,544.0,642.0,2.0,Domestic,0,92,C24,,2016-05-02 10:25:00,2016-05-02 12:46:00,2016-05-02 10:42:00,2016-05-02 12:48:00,925,1066,2016-05-02 15:42,2016-05-02 17:48,N984TW,58,,
93,AA1210,N,DFW,MSP,1610,1640,970,1000,1611,1824,971.0,1104.0,2.0,Domestic,105,0,,C24,2016-05-02 13:38:00,2016-05-02 16:10:00,2016-05-02 13:32:00,2016-05-02 16:11:00,1118,1270,2016-05-02 18:32,2016-05-02 21:11,N984TW,45,,
